edge_id,graph_layer,source_node_id,target_node_id,relation_type,evidence_paper_id,evidence_year,visible_year,evidence_source_type,evidence_location,evidence_quote,confidence,is_inferred,needs_human_check,notes
E.FWP004.001,evidence,FWP004.paper,FWP004.problem.ground_state_wavefunctions,paper_states_problem,NQSC004,2017,2017,introduction,main.tex:111,[redacted_for_public_release],high,false,false,""
E.FWP004.002,evidence,FWP004.paper,FWP004.method.rbm_pp,paper_uses_method,NQSC004,2017,2017,abstract,main.tex:98,[redacted_for_public_release],high,false,false,""
E.FWP004.003,evidence,FWP004.paper,FWP004.benchmark.heisenberg_hubbard_square,paper_evaluates_on_benchmark,NQSC004,2017,2017,abstract,main.tex:100,[redacted_for_public_release],high,false,false,""
E.FWP004.004,evidence,FWP004.paper,FWP004.result.accuracy_improvement,paper_reports_result,NQSC004,2017,2017,abstract,main.tex:100,[redacted_for_public_release],high,false,false,""
E.FWP004.005,evidence,FWP004.paper,FWP004.limitation.optimization_large_alpha,paper_acknowledges_limitation,NQSC004,2017,2017,discussion,main.tex:723,[redacted_for_public_release],high,false,false,""
E.FWP004.006,evidence,FWP004.paper,FWP004.future_work.dbm,paper_proposes_future_work,NQSC004,2017,2017,summary,main.tex:734,[redacted_for_public_release],high,false,false,""
E.FWP021.001,evidence,FWP021.paper,FWP021.problem.gutzwiller_lacks_systematic_improvement,paper_states_problem,NQSC021,2019,2019,introduction,paper_v2.tex:91-93,[redacted_for_public_release],high,false,false,""
E.FWP021.002,evidence,FWP021.paper,FWP021.method.rbm_augmented_gutzwiller,paper_uses_method,NQSC021,2019,2019,introduction,paper_v2.tex:103-105,[redacted_for_public_release],high,false,false,""
E.FWP021.003,evidence,FWP021.paper,FWP021.benchmark.square_j1j2,paper_evaluates_on_benchmark,NQSC021,2019,2019,results,paper_v2.tex:416-423,[redacted_for_public_release],high,false,false,""
E.FWP021.004,evidence,FWP021.paper,FWP021.result.frustrated_gain_but_lower_accuracy,paper_reports_result,NQSC021,2019,2019,conclusion,paper_v2.tex:657-661,[redacted_for_public_release],high,false,false,""
E.FWP021.005,evidence,FWP021.paper,FWP021.interpretation.sign_entanglement_optimization,paper_states_interpretation,NQSC021,2019,2019,conclusion,paper_v2.tex:662-667,[redacted_for_public_release],high,false,false,""
E.FWP021.006,evidence,FWP021.paper,FWP021.limitation.su2_bias,paper_acknowledges_limitation,NQSC021,2019,2019,conclusion,paper_v2.tex:669-672,[redacted_for_public_release],high,false,false,""
E.FWP043.001,evidence,FWP043.paper,FWP043.problem.frustrated_sign_structure,paper_states_problem,NQSC043,2020,2020,abstract,pap_rev.tex:31,[redacted_for_public_release],high,false,false,""
E.FWP043.002,evidence,FWP043.paper,FWP043.method.peps_cnn,paper_uses_method,NQSC043,2020,2020,abstract,pap_rev.tex:32,[redacted_for_public_release],high,false,false,""
E.FWP043.003,evidence,FWP043.paper,FWP043.benchmark.square_j1j2,paper_evaluates_on_benchmark,NQSC043,2020,2020,abstract,pap_rev.tex:32,[redacted_for_public_release],high,false,false,""
E.FWP043.004,evidence,FWP043.paper,FWP043.result.competitive_sota,paper_reports_result,NQSC043,2020,2020,abstract,pap_rev.tex:32,[redacted_for_public_release],high,false,false,""
E.FWP043.005,evidence,FWP043.paper,FWP043.interpretation.sign_amplitude_separation,paper_states_interpretation,NQSC043,2020,2020,summary,pap_rev.tex:478-481,[redacted_for_public_release],high,false,false,""
E.FWP047.001,evidence,FWP047.paper,FWP047.problem.generic_nn_not_interpretable,paper_states_problem,NQSC047,2021,2021,abstract,draft_main.tex:61-62,[redacted_for_public_release],high,false,false,""
E.FWP047.002,evidence,FWP047.paper,FWP047.method.crbm,paper_uses_method,NQSC047,2021,2021,introduction,draft_main.tex:101-103,[redacted_for_public_release],high,false,false,""
