unit_id,round,claim_id,step_index,from_item_id,link_id,to_item_id,traversal,why_step_matters,status,expected_from_item_id,expected_to_item_id
unit_795,round0,C1,1,DTO063.design_principle.monitor_observables,L0012,DTO110.evaluation.energy_infidelity_scaling,supports,"Connects a compression/tomography design principle (track multiple observables, since energy can hide degradation) to an evaluation lens that explicitly contrasts energy vs infidelity scaling across mixedness, motivating multi-metric stopping/selection rules.",ok,DTO063.design_principle.monitor_observables,DTO110.evaluation.energy_infidelity_scaling
unit_795,round1,C1,1,CSSA024.paper,A0003,APW090.paper,supports,"Establishes that attention mechanisms have been specifically used to parametrize the backflow transformation, making “attention variants” a realistic architectural knob where selection/diagnostics matter.",ok,CSSA024.paper,APW090.paper
unit_795,round1,C1,2,NQSC127.paper.01,A0004,NQSC127.method.06,supports,"Places these architectures inside a recognized fermionic-NQS development branch (neural backflow), supporting the claim that there is a family of related models where a shared selection protocol could apply.",ok,NQSC127.paper.01,NQSC127.method.06
unit_795,round2,C1,1,CSSA145.problem.peaked_hamiltonian,B0001,CSSA170.problem.scalability_barriers,supports,"Establishes that large-scale NQS training is fundamentally limited by sampling-driven compute and memory footprint, creating a setting where “objective-only convergence” can be operationally misleading.",ok,CSSA145.problem.peaked_hamiltonian,CSSA170.problem.scalability_barriers
unit_795,round2,C1,2,CSSA145.method.sampling_without_replacement,B0004,CSSA170.method.sampling_parallelism,supports,"Connects the sampling-side instability (dynamic/“unpredictable” memory requirements) to a concrete mitigation (memory-stable sampling parallelism), motivating sampling/memory metrics as first-class selection signals.",ok,CSSA145.method.sampling_without_replacement,CSSA170.method.sampling_parallelism
unit_795,round2,C1,3,CSSA145.method.local_energy_surrogate,B0003,CSSA170.method.energy_parallelism,supports,"Anchors local-energy evaluation as a core computational bottleneck and ties it to a parallelization strategy, motivating local-energy profiling/utilization metrics in the selection panel.",ok,CSSA145.method.local_energy_surrogate,CSSA170.method.energy_parallelism
unit_795,round2,C1,4,CSSA145.method.gpu_compression,B0002,CSSA170.method.cache_optimization,supports,"Grounds transformer KV-cache memory as a concrete scaling constraint and links it to cache pooling/recomputation strategies, motivating cache-pressure diagnostics as selection/early-stop guardrails for transformer-based NQS.",ok,CSSA145.method.gpu_compression,CSSA170.method.cache_optimization
unit_156,round0,C1,1,DTO063.design_principle.monitor_observables,L0012,DTO110.evaluation.energy_infidelity_scaling,supports,Connects a pruning/compression design principle (track multiple observables; energy can be least sensitive) to a later evaluation framing that explicitly compares energy- vs infidelity-related scaling behavior across mixedness.,ok,DTO063.design_principle.monitor_observables,DTO110.evaluation.energy_infidelity_scaling
unit_156,round0,C1,1,CSSA145.paper,A0021,CSSA145.method.sampling_without_replacement,supports,Grounds the idea’s “explicit unique-sample budget” control mechanism (sampling without replacement) as a core technical lever.,missing_link_id,"",""
unit_156,round0,C1,2,CSSA145.paper,A0022,CSSA145.method.local_energy_surrogate,supports,"Shows an explicit, evidenced strategy to reduce the computational cost of local-energy evaluation via a cheaper surrogate objective.",missing_link_id,"",""
unit_156,round0,C1,3,CSSA145.paper,A0023,CSSA145.method.prefix_tree,supports,"Adds a second, complementary way to reduce local-energy cost by exploiting structure in sampled configurations (trie/prefix-tree).",missing_link_id,"",""
unit_156,round0,C1,4,CSSA145.paper,A0028,CSSA145.limitation.c2,supports,"Motivates the guardrail framing: even with increased unique samples (and associated efficiency techniques), some hard cases remain unsolved, so energy/proxy improvements alone are not sufficient.",missing_link_id,"",""
unit_156,round0,C2,1,NQSC127.paper.01,A0053,NQSC127.problem.02,supports,"Establishes that optimization is a primary bottleneck for NQS, so stabilizing training is a central design requirement.",missing_link_id,"",""
