link_id,from_item_id,to_item_id,paper_id,year,evidence_location,evidence
B0001,NQSC164.paper,HPM011.paper,NQSC164,2025,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2506.00155v3/main-update-w-supp.bbl:75,[redacted_for_public_release]
B0002,NQSC164.paper,APW090.paper,NQSC164,2025,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2506.00155v3/main-update-w-supp.bbl:227,[redacted_for_public_release]
B0003,NQSC164.paper,NQSC106.paper,NQSC164,2025,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2506.00155v3/main-update-w-supp.bbl:129,[redacted_for_public_release]
B0004,CSSA170.paper,APW034.paper,NQSC170,2025,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2506.23809v1/conference_101719.bbl:41,[redacted_for_public_release]
B0005,CSSA170.paper,OPW085.paper,NQSC170,2025,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2506.23809v1/conference_101719.bbl:82,[redacted_for_public_release]
B0006,CSSA170.paper,APW090.paper,NQSC170,2025,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2506.23809v1/conference_101719.bbl:60,[redacted_for_public_release]
B0007,CSSA170.paper,OPW109.paper,NQSC170,2025,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2506.23809v1/conference_101719.bbl:54,[redacted_for_public_release]
B0008,DTO175.paper,HPM003.paper,NQSC175,2025,extraction_waves/dynamics_tomography_wave_v0/text/2507.08418v4/bibliography.bib:679,[redacted_for_public_release]
B0009,DTO175.paper,FWP004.paper,NQSC175,2025,extraction_waves/dynamics_tomography_wave_v0/text/2507.08418v4/bibliography.bib:544,[redacted_for_public_release]
B0010,DTO175.paper,DTO015.paper,NQSC175,2025,extraction_waves/dynamics_tomography_wave_v0/text/2507.08418v4/bibliography.bib:467,[redacted_for_public_release]
B0011,DTO175.paper,OPW016.paper,NQSC175,2025,extraction_waves/dynamics_tomography_wave_v0/text/2507.08418v4/bibliography.bib:769,[redacted_for_public_release]
B0012,DTO175.paper,HPM026.paper,NQSC175,2025,extraction_waves/dynamics_tomography_wave_v0/text/2507.08418v4/bibliography.bib:740,[redacted_for_public_release]
B0013,DTO175.paper,OPW028.paper,NQSC175,2025,extraction_waves/dynamics_tomography_wave_v0/text/2507.08418v4/bibliography.bib:633,[redacted_for_public_release]
B0014,DTO175.paper,HPM030.paper,NQSC175,2025,extraction_waves/dynamics_tomography_wave_v0/text/2507.08418v4/bibliography.bib:862,[redacted_for_public_release]
B0015,DTO175.paper,DTO031.paper,NQSC175,2025,extraction_waves/dynamics_tomography_wave_v0/text/2507.08418v4/bibliography.bib:1122,[redacted_for_public_release]
B0016,DTO175.paper,HPM059.paper,NQSC175,2025,extraction_waves/dynamics_tomography_wave_v0/text/2507.08418v4/bibliography.bib:1092,[redacted_for_public_release]
B0017,DTO175.paper,DTO063.paper,NQSC175,2025,extraction_waves/dynamics_tomography_wave_v0/text/2507.08418v4/bibliography.bib:559,[redacted_for_public_release]
B0018,DTO175.paper,FWP078.paper,NQSC175,2025,extraction_waves/dynamics_tomography_wave_v0/text/2507.08418v4/bibliography.bib:1233,[redacted_for_public_release]
B0019,DTO178.paper,HPM030.paper,NQSC178,2025,extraction_waves/dynamics_tomography_wave_v0/text/2507.17421v2/citation_backfill_thebibliography.bbl:49,[redacted_for_public_release]
B0020,DTO178.paper,DTO031.paper,NQSC178,2025,extraction_waves/dynamics_tomography_wave_v0/text/2507.17421v2/citation_backfill_thebibliography.bbl:89,[redacted_for_public_release]
B0021,NQSC199.paper,APW090.paper,NQSC199,2026,extraction_waves/chemistry_sampling_symmetry_wave_v0/text/2601.06939v1/main.bbl:77,[redacted_for_public_release]
B0022,DTO201.paper,FWP004.paper,NQSC201,2026,extraction_waves/dynamics_tomography_wave_v0/text/2601.20950v1/main.bbl:1371,[redacted_for_public_release]
B0023,DTO201.paper,APW034.paper,NQSC201,2026,extraction_waves/dynamics_tomography_wave_v0/text/2601.20950v1/main.bbl:2468,[redacted_for_public_release]
B0024,DTO201.paper,DTO040.paper,NQSC201,2026,extraction_waves/dynamics_tomography_wave_v0/text/2601.20950v1/main.bbl:1483,[redacted_for_public_release]
B0025,DTO201.paper,DTO077.paper,NQSC201,2026,extraction_waves/dynamics_tomography_wave_v0/text/2601.20950v1/main.bbl:1313,[redacted_for_public_release]
