item_id,item_kind,label,paper_id,year,section,evidence,paraphrase
CSSA170.paper,paper,Large-scale Neural Network Quantum States for ab initio Quantum Chemistry Simulations on Fugaku,NQSC170,2025,title,[redacted_for_public_release],Paper node for the Fugaku large-scale NQS framework.
CSSA170.problem.scalability_barriers,problem,"Large-scale NQS training hits sampling, local-energy, and transformer-cache barriers",NQSC170,2025,abstract,[redacted_for_public_release],The paper frames large-scale molecular NQS as blocked by compute and memory scalability.
CSSA170.method.sampling_parallelism,method,Multi-stage memory-stable sampling parallelism with hybrid BFS/DFS,NQSC170,2025,Scalable and Memory-stable Sampling Parallelism,[redacted_for_public_release],The framework partitions sampling work hierarchically and controls memory with a hybrid sampling scheme.
CSSA170.method.energy_parallelism,method,MPI/OpenMP/SIMD multi-level local-energy parallelism,NQSC170,2025,Multi-level Energy Calculation Parallelism,[redacted_for_public_release],"The framework parallelizes local energy across samples, threads, and vector lanes."
CSSA170.method.cache_optimization,method,Cache-centric transformer KV-cache pooling and selective recomputation,NQSC170,2025,Cache-Centric Optimization for Transformers,[redacted_for_public_release],"The framework manages transformer KVCache memory with fixed pooling, recomputation, and lazy expansion."
CSSA170.benchmark.fugaku_systems,benchmark,"Fugaku tests on N2, Fe2S2, H50, and benzene-scale systems",NQSC170,2025,Evaluation,[redacted_for_public_release],The evaluation spans increasing spin-orbital counts including strongly correlated and molecular benchmarks.
CSSA170.result.precision_validation,result_claim,Framework reproduces FCI-level ground-state energies on validation molecules,NQSC170,2025,Precision and Performance Validation,[redacted_for_public_release],"The framework is validated against accurate FCI-like energies for N2, PH3, and LiCl."
CSSA170.result.overall_speedup,result_claim,Fugaku framework reaches up to 8.41x speedup and high parallel efficiency,NQSC170,2025,abstract,[redacted_for_public_release],The paper reports large end-to-end speedup and high scaling efficiency.
CSSA170.result.memory_sampling,result_claim,Memory-stable sampling scales to 1.024e7 samples without OOM,NQSC170,2025,Sampling Parallelism,[redacted_for_public_release],The sampling method controls peak memory while scaling sample count.
CSSA170.result.energy_speedup,result_claim,SIMD plus OpenMP gives up to 20.8x local-energy speedup for H50,NQSC170,2025,Energy Parallelism,[redacted_for_public_release],The evaluation reports local-energy speedups from vectorization and threading.
CSSA170.future.exascale,future_work,Framework informs next-generation exascale hybrid HPC-AI workloads,NQSC170,2025,Conclusion,[redacted_for_public_release],The conclusion positions the work as guidance for future exascale NQS workloads.
NQSC164.paper,paper,Expressivity of determinantal ansatzes for neural network wave functions,NQSC164,2025,title,[redacted_for_public_release],Paper node for Zhan et al. on determinantal/spinor expressivity.
