node_id,graph_layer,node_type,canonical_label,source_paper_id,source_year,visible_year,source_section,evidence_location,evidence_quote,paraphrase,confidence,is_inferred,needs_human_check,notes
FWP004.paper,evidence,paper,Restricted-Boltzmann-Machine Learning for Solving Strongly Correlated Quantum Systems,NQSC004,2017,2017,title,metadata:title,[redacted_for_public_release],Paper node for Nomura et al. RBM+PP strongly correlated systems.,high,false,false,""
FWP004.problem.ground_state_wavefunctions,evidence,problem,Accurate ground-state wavefunctions are a grand challenge,NQSC004,2017,2017,introduction,main.tex:111,[redacted_for_public_release],The paper motivates accurate many-body ground-state wavefunctions as a central problem.,high,false,false,""
FWP004.method.rbm_pp,evidence,method,RBM+PP variational ansatz combining RBM and pair-product VMC with projections,NQSC004,2017,2017,abstract,main.tex:98,[redacted_for_public_release],The method combines RBM with pair-product wavefunctions and quantum-number projections.,high,false,false,""
FWP004.benchmark.heisenberg_hubbard_square,evidence,benchmark,2D Heisenberg and Hubbard models on square lattices,NQSC004,2017,2017,abstract,main.tex:100,[redacted_for_public_release],The paper evaluates RBM+PP on square-lattice Heisenberg and Hubbard models.,high,false,false,""
FWP004.result.accuracy_improvement,evidence,result_claim,RBM+PP improves accuracy beyond each component separately,NQSC004,2017,2017,abstract,main.tex:100,[redacted_for_public_release],The paper reports improved accuracy over standalone RBM or pair-product/VMC methods.,high,false,false,""
FWP004.limitation.optimization_large_alpha,evidence,limitation,Optimization becomes difficult for larger RBM hidden density,NQSC004,2017,2017,discussion,main.tex:723,[redacted_for_public_release],The discussion identifies optimization at larger alpha as a practical bottleneck.,high,false,false,""
FWP004.future_work.dbm,evidence,future_work,Explore deeper Boltzmann-machine structures beyond RBM,NQSC004,2017,2017,summary,main.tex:734,[redacted_for_public_release],The paper proposes DBM/deeper architectures as future direction.,high,false,false,""
FWP021.paper,evidence,paper,Neural Gutzwiller-projected variational wave functions,NQSC021,2019,2019,title,metadata:title,[redacted_for_public_release],Paper node for Ferrari et al. neural Gutzwiller-projected wavefunctions.,high,false,false,""
FWP021.problem.gutzwiller_lacks_systematic_improvement,evidence,problem,Gutzwiller projected wavefunctions are interpretable but lack systematic improvement,NQSC021,2019,2019,introduction,paper_v2.tex:91-93,[redacted_for_public_release],The paper frames systematic improvement of Gutzwiller-projected approximations as a bottleneck.,high,false,false,""
FWP021.method.rbm_augmented_gutzwiller,evidence,method,Complex-valued RBM augmentation of Gutzwiller-projected fermionic states,NQSC021,2019,2019,introduction,paper_v2.tex:103-105,[redacted_for_public_release],The method multiplies a Gutzwiller-projected fermionic state by a complex-valued RBM correlator.,high,false,false,""
FWP021.benchmark.square_j1j2,evidence,benchmark,Square-lattice J1-J2 model at unfrustrated and frustrated regimes,NQSC021,2019,2019,results,paper_v2.tex:416-423,[redacted_for_public_release],The paper evaluates both J2=0 and J2/J1=0.5 regimes.,high,false,false,""
FWP021.result.frustrated_gain_but_lower_accuracy,evidence,result_claim,RBM improves frustrated regime energy but remains less accurate than unfrustrated case,NQSC021,2019,2019,conclusion,paper_v2.tex:657-661,[redacted_for_public_release],The paper reports gain in frustrated regimes but lower accuracy than unfrustrated.,high,false,false,""
FWP021.interpretation.sign_entanglement_optimization,evidence,interpretation,"Frustrated NQS requires disentangling representation power, sign structure, entanglement, and optimization landscape",NQSC021,2019,2019,conclusion,paper_v2.tex:662-667,[redacted_for_public_release],"The paper interprets frustrated performance as involving representation, sign, entanglement, and optimization.",high,false,false,""
FWP021.limitation.su2_bias,evidence,limitation,RBM form tends to break SU(2) symmetry in frustrated settings,NQSC021,2019,2019,conclusion,paper_v2.tex:669-672,[redacted_for_public_release],The paper identifies SU(2)-symmetry breaking as an inductive-bias issue.,high,false,false,""
FWP043.paper,evidence,paper,Hybrid convolutional neural network and PEPS wave functions for quantum many-particle states,NQSC043,2020,2020,title,metadata:title,[redacted_for_public_release],Paper node for Liang et al. PEPS+CNN hybrid.,high,false,false,""
FWP043.problem.frustrated_sign_structure,evidence,problem,Correct sign structure is crucial and hard for frustrated neural wavefunctions,NQSC043,2020,2020,abstract,pap_rev.tex:31,[redacted_for_public_release],The paper motivates sign structure as crucial for accurate ground-state energies.,high,false,false,""
FWP043.method.peps_cnn,evidence,method,Hybrid PEPS+CNN ansatz with PEPS signs and CNN amplitudes,NQSC043,2020,2020,abstract,pap_rev.tex:32,[redacted_for_public_release],The method separates sign and amplitude roles between PEPS and CNN.,high,false,false,""
FWP043.benchmark.square_j1j2,evidence,benchmark,Highly frustrated spin-1/2 square-lattice J1-J2 model,NQSC043,2020,2020,abstract,pap_rev.tex:32,[redacted_for_public_release],The paper benchmarks on the square J1-J2 model.,high,false,false,""
FWP043.result.competitive_sota,evidence,result_claim,PEPS+CNN achieves competitive state-of-the-art ground energies,NQSC043,2020,2020,abstract,pap_rev.tex:32,[redacted_for_public_release],The paper reports competitive ground-state energies.,high,false,false,""
FWP043.interpretation.sign_amplitude_separation,evidence,interpretation,PEPS handles sharp sign structures that are difficult for deep CNN,NQSC043,2020,2020,summary,pap_rev.tex:478-481,[redacted_for_public_release],The paper interprets the hybrid architecture as a sign/amplitude division of labor.,high,false,false,""
FWP047.paper,evidence,paper,Correlation-Enhanced Neural Networks as Interpretable Variational Quantum States,NQSC047,2021,2021,title,metadata:title,[redacted_for_public_release],Paper node for Valenti et al. cRBM.,high,false,false,""
FWP047.problem.generic_nn_not_interpretable,evidence,problem,Generic NN variational parameters are not necessarily physically motivated,NQSC047,2021,2021,abstract,draft_main.tex:61-62,[redacted_for_public_release],The paper identifies lack of physical motivation/interpretability as a problem.,high,false,false,""
FWP047.method.crbm,evidence,method,Correlation-enhanced RBM with physically motivated coupling terms,NQSC047,2021,2021,introduction,draft_main.tex:101-103,[redacted_for_public_release],The method adds correlation terms corresponding to system physics.,high,false,false,""
FWP047.benchmark.triangular_heisenberg,evidence,benchmark,Antiferromagnetic Heisenberg model on triangular lattice,NQSC047,2021,2021,appendix,draft_main.tex:688-694,[redacted_for_public_release],The paper evaluates cRBM on a frustrated triangular Heisenberg model.,high,false,false,""
FWP047.result.lower_energies_with_correlators,evidence,result_claim,cRBM correlators give significantly lower energies than RBM for same parameter count,NQSC047,2021,2021,appendix,draft_main.tex:726,[redacted_for_public_release],The paper reports cRBM energy improvement.,high,false,false,""
FWP047.interpretation.efficient_physical_subspace,evidence,interpretation,Physical correlators make Hilbert subspace extension more efficient,NQSC047,2021,2021,appendix,draft_main.tex:726,[redacted_for_public_release],The paper interprets the improvement as efficient physically guided subspace extension.,high,false,false,""
FWP078.paper,evidence,paper,Lattice Convolutional Networks for Learning Ground States of Quantum Many-Body Systems,NQSC078,2022,2022,title,metadata:title,[redacted_for_public_release],Paper node for Fu et al. LCN.,high,false,false,""
FWP078.problem.non_square_lattice_structure,evidence,problem,Non-square lattice structure is not precisely captured by existing GNNs without hand-crafted encoding,NQSC078,2022,2022,abstract,main.tex:125,[redacted_for_public_release],The paper identifies structure capture on non-square lattices as a problem.,high,false,false,""
FWP078.method.lattice_convolution,evidence,method,Lattice convolution converts non-square lattices into augmented grids for CNNs,NQSC078,2022,2022,abstract,main.tex:125,[redacted_for_public_release],The method maps non-square lattices to augmented grids for regular convolution.,high,false,false,""
FWP078.benchmark.multilattice_j1j2,evidence,benchmark,"Spin-1/2 J1-J2 Heisenberg model on square, honeycomb, triangular, and kagome lattices",NQSC078,2022,2022,abstract,main.tex:125,[redacted_for_public_release],The paper benchmarks across multiple lattice geometries.,high,false,false,""
FWP078.result.lcn_outperforms_gnn_frustrated,evidence,result_claim,LCN matches or improves GNN performance without hand-crafted structure encoding,NQSC078,2022,2022,results,main.tex:439,[redacted_for_public_release],The paper reports LCN represents ground states without explicit structure encoding.,high,false,false,""
FWP078.interpretation.cnn_lattice_patterns,evidence,interpretation,CNNs are suitable for repetitive local lattice patterns when geometry is encoded by lattice convolution,NQSC078,2022,2022,method,main.tex:186-189,[redacted_for_public_release],The paper interprets LCN as adapting CNN locality/pattern reuse to lattice systems.,high,false,false,""
FWP122.paper,evidence,paper,Transformer Wave Function for two dimensional frustrated magnets,NQSC122,2023,2023,title,metadata:title,[redacted_for_public_release],Paper node for Viteritti et al. ViT frustrated magnets.,high,false,false,""
FWP122.problem.competing_small_gap_phases,evidence,problem,Frustrated magnets have competing phases with small gaps and similar energies,NQSC122,2023,2023,abstract,main.tex:53-54,[redacted_for_public_release],The paper motivates the physical difficulty of resolving frustrated magnet ground states.,high,false,false,""
FWP122.method.transformer_feature_space,evidence,method,Transformer maps spin configurations into a high-dimensional feature space,NQSC122,2023,2023,abstract,main.tex:55-57,[redacted_for_public_release],The method uses a transformer/ViT feature-space representation.,high,false,false,""
FWP122.benchmark.shastry_sutherland,evidence,benchmark,Shastry-Sutherland model phase diagram,NQSC122,2023,2023,abstract,main.tex:57-59,[redacted_for_public_release],The paper studies the Shastry-Sutherland frustrated magnet.,high,false,false,""
FWP122.evaluation.order_gap,evidence,evaluation,"Order parameters, correlation ratios, and triplet excitation gap diagnose phases",NQSC122,2023,2023,results,main.tex:379-390,[redacted_for_public_release],The paper uses physical observables and excitation gaps to diagnose the phase diagram.,high,false,false,""
