link_id,from_item_id,to_item_id,paper_id,year,evidence_location,evidence
L0001,CSSA024.method.ferminet,CSSA051.method.ferminetstar,NQSC051,2021,text/2103.12570v2/main.tex:119-127,[redacted_for_public_release]
L0002,CSSA024.method.ferminet,CSSA051.method.dmc,NQSC051,2021,text/2103.12570v2/main.tex:97,[redacted_for_public_release]
L0003,CSSA025.method.paulinetsjb,CSSA051.problem.efficiency_tuning,NQSC051,2021,text/2103.12570v2/main.tex:646,[redacted_for_public_release]
L0004,CSSA024.method.ferminet,CSSA025.method.paulinetsjb,NQSC025,2019,text/1909.08423/text.tex:85-88,[redacted_for_public_release]
L0005,CSSA024.future.projector_qmc,CSSA051.method.dmc,NQSC051,2021,text/2103.12570v2/main.tex:119,[redacted_for_public_release]
L0006,APW034.method.rnn_wavefunction_autoregressive,CSS045.problem.autoregressive_symmetry_tradeoff,NQSC045,2020,text/2011.02986v2/main_physrev.tex:81,[redacted_for_public_release]
L0007,HPM037.method.deep_sets_correlator,CSS080.method.hidden_nucleon_ansatz,NQSC080,2022,text/2206.10021v1/main.tex:60,[redacted_for_public_release]
L0008,DTO013.method.ic_povm_distribution,DTO014.method.qucumber_rbm_projective,NQSC014,2018,text/1812.09329v2/main.tex:113-115,[redacted_for_public_release]
L0009,DTO013.method.generative_model_distribution,DTO040.method.cgan_density_layers,NQSC040,2020,text/2008.03240/qst-cgan-arXiv_v2.tex:140-146,[redacted_for_public_release]
L0010,DTO019.method.dnn_filter,DTO040.result.experiment_spam,NQSC040,2020,text/2008.03240/qst-cgan-arXiv_v2.tex:244-254,[redacted_for_public_release]
L0011,DTO015.method.rbm_density_matrix,DTO041.method.spin_bibase_rbm,NQSC041,2020,text/2009.00019/Integrated_version_for_arxiv.tex:141-145,[redacted_for_public_release]
L0012,DTO063.design_principle.monitor_observables,DTO110.evaluation.energy_infidelity_scaling,NQSC110,2023,text/2307.01840v2/manuscript.tex:260-269,[redacted_for_public_release]
L0013,APW034.method.rnn_wavefunction_autoregressive,HPM083.method.2d_crnn_symmetry,NQSC083,2022,main.tex:67-68,[redacted_for_public_release]
L0014,APW034.method.rnn_wavefunction_autoregressive,HPM083.method.annealing,NQSC083,2022,main.tex:75,[redacted_for_public_release]
L0015,HPM011.method.nn_backflow,HPM026.method.fermion_to_spin_rbm,NQSC026,2019,main.tex:113-115,[redacted_for_public_release]
L0016,HPM026.limitation.uniform_sampling_large_basis,APW060.method.unique_configuration_sampling,NQSC060,2021,architecture_pilot_wave_v0:APW060,[redacted_for_public_release]
L0017,HPM026.future.alternative_sampling_deeper_networks,HPM117.method.symmetry_aware_pruning,NQSC117,2023,main.tex:120-128,[redacted_for_public_release]
L0018,HPM007.result.exact_deterministic,HPM117.problem.anqs_symmetry_sampling,NQSC117,2023,main.tex:106,[redacted_for_public_release]
L0019,HPM002.result.tn_not_weaker,HPM117.problem.anqs_symmetry_sampling,NQSC117,2023,main.tex:106,[redacted_for_public_release]
L0020,APW060.method.physical_priors_constraints,HPM117.method.symmetry_aware_pruning,NQSC117,2023,main.tex:124-128,[redacted_for_public_release]
L0021,OPW085.method.reverse_sampling_order,HPM117.method.symmetry_aware_pruning,NQSC117,2023,main.tex:415-418,[redacted_for_public_release]
L0022,HPM011.interpretation.alter_sign_structure,HPM059.problem.fermionic_sign_difficulty,NQSC059,2021,main.tex:80-85,[redacted_for_public_release]
L0023,HPM026.method.fermion_to_spin_rbm,HPM037.future.spin_backflow_medium_mass,NQSC037,2020,main.tex:184,[redacted_for_public_release]
L0024,HPM010.method.local_measurement_nn,HPM117.problem.anqs_symmetry_sampling,NQSC117,2023,main.tex:106-107,[redacted_for_public_release]
L0025,HPM003.problem.sign_problem_nonsmooth,HPM083.problem.frustrated_sign_problem,NQSC083,2022,main.tex:73-75,[redacted_for_public_release]
L0026,NQSC071.method.periodic_fourier_coordinates,NQSC106.method.mp_nqs_backflow,NQSC106,2023,text/2305.07240v3/main.tex:170,[redacted_for_public_release]
