item_id,item_kind,label,paper_id,year,section,evidence,paraphrase
OPW085.paper,paper,Scalable neural quantum states architecture for quantum chemistry,NQSC085,2022,title,[redacted_for_public_release],Paper node for Zhao Stokes and Veerapaneni scalable quantum chemistry NQS.
OPW085.problem.local_energy_sampling_scalability,problem,Large molecules create local-energy and sampling scalability bottlenecks,NQSC085,2022,introduction,[redacted_for_public_release],The paper identifies two sources of NQS scaling difficulty in molecular systems.
OPW085.method.made_complex_autoregressive,method,MADE-based complex autoregressive molecular NQS,NQSC085,2022,modeling,[redacted_for_public_release],The method adapts MADE to complex-valued molecular wavefunctions with constraints.
OPW085.method.tensor_local_energy_parallel,method,GPU tensorized local-energy computation and distributed batches,NQSC085,2022,parallelization,[redacted_for_public_release],The paper parallelizes local-energy computation by tensorizing Hamiltonian information on GPUs.
OPW085.method.reverse_sampling_order,method,Reverse autoregressive sampling uses Hamiltonian/encoding structure,NQSC085,2022,modeling,[redacted_for_public_release],The paper improves sampling by ordering qubits according to Jordan-Wigner structure.
OPW085.benchmark.molecules_76_qubits,benchmark,Quantum chemistry molecules up to 76 qubits and millions of Hamiltonian terms,NQSC085,2022,abstract,[redacted_for_public_release],The method is evaluated on molecular systems up to 76 qubits.
OPW085.result.state_of_art_scaling,result_claim,Algorithm scales to 76 qubits and achieves state-of-the-art performance,NQSC085,2022,experiments,[redacted_for_public_release],The paper reports strong molecular energy performance and scaling.
OPW085.result.weak_scaling_batch,result_claim,Large batches improve performance and parallelization gives near-optimal weak scaling,NQSC085,2022,experiments,[redacted_for_public_release],The ablations support the batch-size and weak-scaling design logic.
APW060.paper,paper,Autoregressive neural-network wavefunctions for ab initio quantum chemistry,NQSC060,2021,title,[redacted_for_public_release],Paper node for Barrett Malyshev and Lvovsky NAQS chemistry study.
APW060.problem.qc_nonlocal_sample_complexity,problem,Quantum chemistry has nonlocal interactions and high sample complexity,NQSC060,2021,abstract,[redacted_for_public_release],The paper frames electronic-structure NNQS as needing bespoke architecture and sampling.
APW060.problem.rbm_mcmc_blackbox,problem,RBM-based NNQS suffer inefficient sampling and weak molecular priors,NQSC060,2021,introduction,[redacted_for_public_release],The paper identifies RBM MCMC sampling and black-box priors as shortcomings.
APW060.method.arn_second_quantized_qc,method,Autoregressive neural network ansatz for second-quantized molecular wavefunctions,NQSC060,2021,introduction,[redacted_for_public_release],The method uses autoregressive factorization for molecular wavefunctions.
APW060.method.unique_configuration_sampling,method,Sampling cost scales with unique configuration strings,NQSC060,2021,efficient sampling,[redacted_for_public_release],The sampling method avoids redundant repeated configurations in large batches.
APW060.method.physical_priors_constraints,method,Physical priors are hard-coded into the autoregressive ansatz,NQSC060,2021,physical constraints,[redacted_for_public_release],The architecture enforces electron-number and symmetry constraints before training.
APW060.benchmark.molecules_30_spin_orbitals,benchmark,Molecules up to 30 spin-orbitals,NQSC060,2021,abstract,[redacted_for_public_release],The paper evaluates second-quantized NAQS on molecular systems up to 30 spin-orbitals.
APW060.result.naqs_fci_strong_correlation,result_claim,NAQS approaches or matches FCI and can beat coupled cluster in strong-correlation regimes,NQSC060,2021,results,[redacted_for_public_release],The paper reports strong molecular ground-state performance including hard correlation regimes.
APW060.result.outperforms_prior_second_quantized,result_claim,NAQS scales beyond previous second-quantized NNQS chemistry results,NQSC060,2021,results,[redacted_for_public_release],The paper reports improved scale and performance over prior RBM chemistry NNQS.
APW060.limitation.local_energy_barrier,limitation,Local-energy evaluation becomes the remaining scaling barrier,NQSC060,2021,discussion,[redacted_for_public_release],The paper states that VMC local-energy cost limits further scaling once sampling improves.
APW060.future.hybrid_subspace,future_work,Use network-isolated determinant subspaces for hybrid numerical methods,NQSC060,2021,results,[redacted_for_public_release],The paper suggests diagonalizing the subspace found by the autoregressive network.
HPM117.paper,paper,Autoregressive neural quantum states with quantum number symmetries,NQSC117,2023,title,[redacted_for_public_release],Paper node for symmetry-aware ANQS.
HPM117.problem.anqs_symmetry_sampling,problem,Standard autoregressive sampling makes quantum-number symmetries hard to incorporate,NQSC117,2023,abstract,[redacted_for_public_release],The paper frames symmetry-compliant autoregressive sampling as the key challenge.
HPM117.problem.postselection_waste,problem,Postselecting symmetry sectors wastes compute,NQSC117,2023,symmetry-aware sampling,[redacted_for_public_release],The paper explains why postselection is inefficient for ANQS.
HPM117.method.symmetry_aware_pruning,method,Polynomial physicality check prunes unphysical autoregressive subtrees,NQSC117,2023,physicality evaluation algorithm,[redacted_for_public_release],The method makes autoregressive sampling symmetry-aware by pruning impossible partial samples.
HPM117.method.z2_molecular_symmetries,method,Use molecular Z2 spatial symmetries with particle number and spin projection,NQSC117,2023,molecular symmetries,[redacted_for_public_release],The paper adds spatial Z2 symmetries to molecular ANQS.
HPM117.benchmark.molecules,benchmark,Electronic-structure calculations across multiple molecules,NQSC117,2023,system description,[redacted_for_public_release],The paper showcases the method on molecular electronic structure calculations.
HPM117.result.chemical_accuracy_speedup,result_claim,Symmetry-aware ANQS reaches chemical accuracy for all studied molecules with order-of-magnitude speedup,NQSC117,2023,abstract,[redacted_for_public_release],The paper reports chemical accuracy and large speedups relative to previous ANQS results.
HPM117.limitation.dus_sample_loss,limitation,DUS pruning can lose samples and stall larger-molecule optimization,NQSC117,2023,loss of samples,[redacted_for_public_release],The paper identifies a practical sampling risk for one pruning strategy.
