edge_id,graph_layer,source_node_id,target_node_id,relation_type,evidence_paper_id,evidence_year,visible_year,evidence_source_type,evidence_location,evidence_quote,confidence,is_inferred,needs_human_check,notes
CTXCLEAN.CAND.HPM.001,candidate_context,APW034.method.rnn_wavefunction_autoregressive,HPM083.method.2d_crnn_symmetry,candidate__extends_method_from,NQSC083,2022,2022,abstract_citation_context,main.tex:67-68,[redacted_for_public_release],medium,false,true,"candidate_status=strict_possible_unreviewed; candidate_context_only=true; clean_candidate_context=true; original_candidate_id=CAND.HPM.001; explicitness=direct_citation_context; review_reason=NQSC083 explicitly says it builds over an earlier RNN wavefunction result, but controller has not reviewed exact source-node specificity."
CTXCLEAN.CAND.HPM.002,candidate_context,APW034.method.rnn_wavefunction_autoregressive,HPM083.method.annealing,candidate__adds_optimization_component_to_method_line,NQSC083,2022,2022,introduction_context,main.tex:75,[redacted_for_public_release],medium,false,true,candidate_status=possible_unreviewed; candidate_context_only=true; clean_candidate_context=true; original_candidate_id=CAND.HPM.002; explicitness=method_extension_broad; review_reason=Relation is scientifically useful but combines architecture inheritance with a new optimization component.
CTXCLEAN.CAND.HPM.003,candidate_context,HPM011.method.nn_backflow,HPM026.method.fermion_to_spin_rbm,candidate__contrasts_with_prior_method,NQSC026,2019,2019,introduction_citation_context,main.tex:113-115,[redacted_for_public_release],medium,false,true,candidate_status=strict_possible_unreviewed; candidate_context_only=true; clean_candidate_context=true; original_candidate_id=CAND.HPM.003; explicitness=direct_citation_context; review_reason=NQSC026 explicitly discusses neural backflow as prior context before presenting an alternative spin-mapping route.
CTXCLEAN.CAND.HPM.004,candidate_context,HPM026.limitation.uniform_sampling_large_basis,APW060.method.unique_configuration_sampling,candidate__responds_to_sampling_pressure,NQSC060,2021,2021,branch_alignment,architecture_pilot_wave_v0:APW060,[redacted_for_public_release],medium,false,true,"candidate_status=possible_unreviewed; candidate_context_only=true; clean_candidate_context=true; original_candidate_id=CAND.HPM.004; explicitness=field_frontier_alignment; review_reason=Both nodes address peaked molecular sampling pressure, but this candidate needs later full citation-context review."
CTXCLEAN.CAND.HPM.005,candidate_context,HPM026.future.alternative_sampling_deeper_networks,HPM117.method.symmetry_aware_pruning,candidate__responds_to_sampling_pressure,NQSC117,2023,2023,introduction_context,main.tex:120-128,[redacted_for_public_release],medium,false,true,"candidate_status=possible_unreviewed; candidate_context_only=true; clean_candidate_context=true; original_candidate_id=CAND.HPM.005; explicitness=shared_motivation_unit; review_reason=Symmetry-aware ANQS is a later sampling-efficiency route in chemistry NQS, but direct relation to NQSC026 is not yet reviewed."
CTXCLEAN.CAND.HPM.006,candidate_context,HPM007.result.exact_deterministic,HPM117.problem.anqs_symmetry_sampling,candidate__cites_as_background_expressivity_context,NQSC117,2023,2023,introduction_citation_context,main.tex:106,[redacted_for_public_release],medium,false,true,"candidate_status=strict_possible_unreviewed; candidate_context_only=true; clean_candidate_context=true; original_candidate_id=CAND.HPM.006; explicitness=direct_citation_context; review_reason=NQSC117 explicitly cites exact-representation background, but role is background rather than direct method inheritance."
CTXCLEAN.CAND.HPM.007,candidate_context,HPM002.result.tn_not_weaker,HPM117.problem.anqs_symmetry_sampling,candidate__cites_as_background_expressivity_context,NQSC117,2023,2023,introduction_citation_context,main.tex:106,[redacted_for_public_release],medium,false,true,candidate_status=strict_possible_unreviewed; candidate_context_only=true; clean_candidate_context=true; original_candidate_id=CAND.HPM.007; explicitness=direct_citation_context; review_reason=NQSC117 explicitly uses NQS-over-TN expressivity as background before symmetry-aware ANQS.
CTXCLEAN.CAND.HPM.008,candidate_context,APW060.method.physical_priors_constraints,HPM117.method.symmetry_aware_pruning,candidate__turns_component_into_axis,NQSC117,2023,2023,introduction_citation_context,main.tex:124-128,[redacted_for_public_release],medium,false,true,candidate_status=strict_possible_unreviewed; candidate_context_only=true; clean_candidate_context=true; original_candidate_id=CAND.HPM.008; explicitness=direct_citation_context; review_reason=NQSC117 contrasts prior ad hoc symmetry handling with a general quantum-number symmetry algorithm.
CTXCLEAN.CAND.HPM.009,candidate_context,OPW085.method.reverse_sampling_order,HPM117.method.symmetry_aware_pruning,candidate__contrasts_with_prior_method,NQSC117,2023,2023,result_comparison_context,main.tex:415-418,[redacted_for_public_release],medium,false,true,"candidate_status=strict_possible_unreviewed; candidate_context_only=true; clean_candidate_context=true; original_candidate_id=CAND.HPM.009; explicitness=direct_comparison_context; review_reason=NQSC117 compares against prior ANQS quantum-chemistry works, but exact source component requires controller review."
CTXCLEAN.CAND.HPM.010,candidate_context,HPM011.interpretation.alter_sign_structure,HPM059.problem.fermionic_sign_difficulty,candidate__shared_sign_structure_pressure,NQSC059,2021,2021,introduction_context,main.tex:80-85,[redacted_for_public_release],medium,false,true,"candidate_status=possible_unreviewed; candidate_context_only=true; clean_candidate_context=true; original_candidate_id=CAND.HPM.010; explicitness=shared_motivation_unit; review_reason=Both papers target fermionic sign structure, but NQSC059 does not specifically build on NNB in the extracted context."
