item_id,item_kind,label,paper_id,year,section,evidence,paraphrase
OPW150.paper,paper,Autoregressive neural quantum states of Fermi Hubbard models,NQSC150,2024,title,[redacted_for_public_release],Paper node for Ibarra-Garcia-Padilla et al. autoregressive Hubbard NQS.
OPW150.problem.strong_interaction_convergence,problem,RNN convergence becomes difficult as interaction strength increases,NQSC150,2024,abstract,[redacted_for_public_release],The paper frames strong-coupling convergence as a key issue for autoregressive NQS.
OPW150.method.rnn_tqs_hubbard,method,RNN and autoregressive transformer NQS for FHM and HNHM,NQSC150,2024,abstract,[redacted_for_public_release],The paper applies autoregressive RNN and transformer states to correlated electron models.
OPW150.method.hubbard_ramping,method,Physics-motivated ramping of Hubbard tunneling during training,NQSC150,2024,methods,[redacted_for_public_release],The paper proposes ramping model parameters to improve VMC convergence.
OPW150.benchmark.fhm_hnhm,benchmark,1D/2D Fermi-Hubbard and 1D Hatano-Nelson-Hubbard models,NQSC150,2024,abstract,[redacted_for_public_release],The paper evaluates autoregressive NQS on Hermitian and non-Hermitian Hubbard models.
OPW150.result.ramping_improves_fhm,result_claim,Ramping improves FHM convergence especially in 2D,NQSC150,2024,results,[redacted_for_public_release],The paper reports that ramping outperforms plain or hybrid VMC in FHM tests.
OPW150.result.linear_scaling_1d,result_claim,1D FHM accuracy can remain roughly flat with system size under fixed training,NQSC150,2024,results,[redacted_for_public_release],The paper reports evidence for favorable scaling in 1D FHM settings.
OPW150.limitation.nonhermitian_autoregressive,limitation,Autoregressive sampling direction causes non-Hermitian convergence failures,NQSC150,2024,results,[redacted_for_public_release],The paper identifies a sampling-direction failure mode in HNHM for RNN/TQS.
OPW150.future_work.doped_nonhermitian,future_work,Future work on non-Hermitian architectures and doped Hubbard systems,NQSC150,2024,conclusions,[redacted_for_public_release],The paper proposes SR/symmetry for non-Hermitian cases and doped Hubbard applications.
APW153.paper,paper,Physics-informed Transformers for Electronic Quantum States,NQSC153,2024,title,[redacted_for_public_release],Paper node for Sobral Perle and Scheurer physics-informed TQS study.
APW153.problem.basis_dependence_interpretability,problem,Autoregressive NQS performance depends on basis and often lacks physical interpretability,NQSC153,2024,abstract,[redacted_for_public_release],The paper frames basis choice and interpretability as central NQS problems.
APW153.method.physics_informed_reference_basis,method,Choose an energetically motivated basis with a reference state,NQSC153,2024,introduction,[redacted_for_public_release],The method defines HF and strong-coupling bases with a reference state.
APW153.method.alpha_reference_weight,method,Alpha parameter quantifies the reference-state contribution,NQSC153,2024,general formalism,[redacted_for_public_release],The method uses alpha to measure closeness to the reference state.
APW153.method.transformer_corrections,method,Transformer autoregressively samples corrections to the reference state,NQSC153,2024,general formalism,[redacted_for_public_release],The method lets the transformer model non-reference corrections in an autoregressive form.
APW153.benchmark.non_sparse_fermionic_mit,benchmark,Non-sparse fermionic model with a metal-insulator transition,NQSC153,2024,model Hamiltonian,[redacted_for_public_release],The method is tested on a non-sparse fermionic model with HF and strong-coupling regimes.
APW153.result.hf_tqs_matches_ed,result_claim,HF-TQS tracks exact diagonalization and extends to larger inaccessible systems,NQSC153,2024,results bases,[redacted_for_public_release],The paper reports accurate corrections to HF and scaling beyond ED sizes.
APW153.result.physical_basis_sampling_efficiency,result_claim,Physics-informed bases let TQS sample a small useful subset of Hilbert space,NQSC153,2024,results bases,[redacted_for_public_release],The paper reports efficient sampling and excitation-class structure in natural bases.
APW153.interpretation.latent_physical_hierarchy,interpretation,Transformer hidden representations learn physical excitation hierarchy,NQSC153,2024,observables and latent space,[redacted_for_public_release],The authors interpret latent-space structure as reflecting the physics-informed basis hierarchy.
APW153.limitation.critical_unique_states,limitation,Critical regimes require more unique sampled states and careful alpha learning,NQSC153,2024,results bases,[redacted_for_public_release],The paper names unique-state capacity and alpha optimization as critical-region limitations.
APW153.future.more_hamiltonians_sr_symmetry,future_work,Extend physics-informed TQS to other Hamiltonians and improved optimization or symmetry,NQSC153,2024,discussion,[redacted_for_public_release],The paper proposes broader Hamiltonian tests and SR symmetry or batch-sampling improvements.
HPM129.paper,paper,On Representing Electronic Wave Functions with Sign Equivariant Neural Networks,NQSC129,2024,title,[redacted_for_public_release],Paper node for sign equivariant neural networks in electronic wavefunctions.
HPM129.problem.expensive_neural_orbitals,problem,Neural orbital wavefunctions are accurate but computationally expensive,NQSC129,2024,introduction,[redacted_for_public_release],The paper motivates cheaper alternatives to neural-orbital electronic wavefunctions.
HPM129.problem.many_determinants,problem,Classical Gaussian orbitals may require thousands to millions of determinants,NQSC129,2024,introduction,[redacted_for_public_release],The paper identifies determinant count as a classical quantum-chemistry bottleneck.
HPM129.method.sign_equivariant_odd,method,Apply sign-equivariant odd functions to nonlinear combinations of determinants,NQSC129,2024,introduction,[redacted_for_public_release],The method explores sign-equivariant functions on determinant inputs.
HPM129.benchmark.casscf_ferminet,benchmark,"CASSCF and FermiNet wavefunctions on LiH, Li2, and N2 states",NQSC129,2024,experiments,[redacted_for_public_release],The paper evaluates sign-equivariant functions on CASSCF and FermiNet inputs.
HPM129.result.jastrow_equivalence,result_claim,Algebraic sign-equivariant construction reduces to a Jastrow factor,NQSC129,2024,abstract,[redacted_for_public_release],The paper reports a theoretical limitation of the proposed construction.
HPM129.result.no_advantage,result_claim,Sign-equivariant functions show little to no advantage in the studied setting,NQSC129,2024,abstract,[redacted_for_public_release],The paper reports no clear empirical or theoretical advantage.
HPM129.limitation.numerical_instability,limitation,Odd functions cause numerical instabilities and degraded performance at larger size,NQSC129,2024,conclusion,[redacted_for_public_release],The conclusion identifies optimization instability and worsened energies as practical limitations.
CSSA145.paper,paper,Neural quantum states and peaked molecular wave functions: curse or blessing?,NQSC145,2024,title,[redacted_for_public_release],Paper node for the peaked-molecular-wavefunction ANQS quantum chemistry study.
CSSA145.problem.peaked_hamiltonian,problem,Molecular NQS faces peaked Born distributions and many Hamiltonian terms,NQSC145,2024,abstract,[redacted_for_public_release],The paper frames sampling peakedness and Hamiltonian term count as the two central obstacles.
CSSA145.assumption.peaked_enough,assumption,A large enough unique-sample set works when the ground state is peaked enough,NQSC145,2024,Results,[redacted_for_public_release],The method rests on an assumption about peaked molecular wavefunctions and unique sampled states.
CSSA145.method.sampling_without_replacement,method,Autoregressive Gumbel sampling without replacement controls unique samples,NQSC145,2024,Sampling without replacement,[redacted_for_public_release],The method directly controls the number of unique ANQS samples by sampling without replacement.
CSSA145.method.local_energy_surrogate,method,Variational local-energy surrogate over sampled unique states,NQSC145,2024,Streamlined local energy calculations,[redacted_for_public_release],The paper evaluates an upper-bound variational energy from the sampled subspace.
CSSA145.method.prefix_tree,method,Prefix-tree coupled-pair search for local energy evaluation,NQSC145,2024,Improved asymptotic complexity,[redacted_for_public_release],The paper uses trie structure to exploit coupling sparsity among sampled configurations.
CSSA145.method.sr_unique,method,ANQS-tailored stochastic reconfiguration over high-probability unique samples,NQSC145,2024,ANQS-tailored stochastic reconfiguration,[redacted_for_public_release],The paper modifies SR by using renormalized probabilities and a small high-probability subset.
CSSA145.method.gpu_compression,method,Compressed bitwise GPU implementation for sampled basis vectors,NQSC145,2024,GPU implementation,[redacted_for_public_release],The implementation uses compressed integer basis vectors and bitwise operations for GPU acceleration.
