edge_id,graph_layer,source_node_id,target_node_id,relation_type,evidence_paper_id,evidence_year,visible_year,evidence_source_type,evidence_location,evidence_quote,confidence,is_inferred,needs_human_check,notes
CTX.CAND.FWP.001,candidate_context,FWP021.interpretation.sign_entanglement_optimization,FWP043.method.peps_cnn,candidate__addresses_shared_pressure,NQSC043,2020,2020,introduction_context,pap_rev.tex:54-71,[redacted_for_public_release],medium,false,true,"PEPS+CNN clearly targets sign/amplitude pressure, but this candidate links broad pressure to later method and needs branch-level review.; candidate_context_only=true; original_candidate_id=CAND.FWP.001; explicitness=field_frontier_alignment; review_reason=Useful development relation but should be upgraded only after checking full citation role and node specificity."
CTX.CAND.FWP.002,candidate_context,FWP043.interpretation.sign_amplitude_separation,FWP078.problem.non_square_lattice_structure,candidate__parallel_branch_response,NQSC078,2022,2022,related_work_context,main.tex:169-172,[redacted_for_public_release],medium,false,true,"LCN mentions amplitude/phase prediction but mainly addresses lattice geometry; keep as candidate, not strict edge.; candidate_context_only=true; original_candidate_id=CAND.FWP.002; explicitness=citation_context_but_different_problem; review_reason=May indicate branch divergence from sign/amplitude to lattice-structure inductive bias."
CTX.CAND.FWP.003,candidate_context,FWP078.result.lcn_outperforms_gnn_frustrated,FWP122.method.transformer_feature_space,candidate__architecture_escalation,NQSC122,2023,2023,benchmark_context,main.tex:351-353,[redacted_for_public_release],medium,false,true,"ViT cites deep-NQS/frustrated-system works, but relation to LCN specifically needs branch-level verification.; candidate_context_only=true; original_candidate_id=CAND.FWP.003; explicitness=field_frontier_alignment; review_reason=Potential architecture escalation from lattice CNN/GNN to deep transformer feature extraction."
CTX.CAND.OPW.001,candidate_context,OPW028.method.qfm_geometry,OPW053.problem.sgd_insufficient_sr_dominant,candidate__optimization_geometry_to_algorithm_comparison,NQSC053,2021,2021,citation_context,main.tex:140,[redacted_for_public_release],medium,false,true,NQSC053 explicitly uses the QFM/SR geometry context but the branch controller should decide whether this is a strict development edge.; candidate_context_only=true; original_candidate_id=CAND.OPW.001; explicitness=explicit_citation_context; review_reason=Potential hard citation-context edge after branch-local review.
CTX.CAND.OPW.002,candidate_context,OPW053.result.fewer_epochs_sampling_crossover,OPW085.problem.local_energy_sampling_scalability,candidate__sampling_cost_to_scalability_pressure,NQSC085,2022,2022,problem_context,main.tex:100-108,[redacted_for_public_release],medium,false,true,Both papers elevate sampling cost as an optimization bottleneck; NQSC085 does not directly build on LM.; candidate_context_only=true; original_candidate_id=CAND.OPW.002; explicitness=shared_motivation_unit; review_reason=Useful for optimization branch trajectory but not strict evidence yet.
CTX.CAND.OPW.003,candidate_context,OPW085.result.state_of_art_scaling,OPW109.problem.hundred_qubit_scaling,candidate__scale_accuracy_tradeoff_to_transformer_scaling,NQSC109,2023,2023,state_of_art_context,Manuscript.tex:289-291,[redacted_for_public_release],high,false,true,NQSC109 explicitly reviews MADE/Zhao 2023 as largest scale but less accurate than NAQS before proposing transformer NNQS.; candidate_context_only=true; original_candidate_id=CAND.OPW.003; explicitness=explicit_citation_context; review_reason=Strong candidate for upgrade during branch linking.
CTX.CAND.OPW.004,candidate_context,OPW085.method.reverse_sampling_order,OPW109.method.data_parallel_bas,candidate__autoregressive_sampling_parallelization_escalation,NQSC109,2023,2023,method_context,Manuscript.tex:328-335,[redacted_for_public_release],medium,false,true,NQSC109 reuses reverse sampling from Zhao_2023 and extends autoregressive sampling into distributed BAS.; candidate_context_only=true; original_candidate_id=CAND.OPW.004; explicitness=explicit_citation_context; review_reason=Could become strict if controller links the specific method nodes.
CTX.CAND.OPW.005,candidate_context,OPW109.limitation.bas_parallel_tradeoff,OPW150.limitation.nonhermitian_autoregressive,candidate__autoregressive_sampling_failure_modes,NQSC150,2024,2024,limitation_context,main.tex:309-315,[redacted_for_public_release],medium,false,true,Both nodes expose limits of autoregressive sampling but in different regimes: HPC load balance versus non-Hermitian physical bias.; candidate_context_only=true; original_candidate_id=CAND.OPW.005; explicitness=parallel_branch_response; review_reason=Keep candidate; relation is conceptual and not directly cited.
CTX.CAND.OPW.006,candidate_context,OPW150.method.hubbard_ramping,OPW150.future_work.doped_nonhermitian,candidate__physics_guided_training_to_harder_regimes,NQSC150,2024,2024,conclusion_context,main.tex:322-330,[redacted_for_public_release],medium,false,true,Within-paper future trajectory: ramping becomes a route toward doped FHM and non-Hermitian extensions; not a cross-paper edge but useful as candidate trajectory material.; candidate_context_only=true; original_candidate_id=CAND.OPW.006; explicitness=paper_internal_future_candidate; review_reason=Review whether to represent as strict internal edge or trajectory candidate in downstream graph variants.
CTX.CAND.APW.001,candidate_context,APW001.problem.rbm_power_limitation,APW034.method.rnn_wavefunction_autoregressive,candidate__shallow_model_limit_to_sequence_architecture,NQSC034,2020,2020,field_frontier_context,main.tex:91-104,[redacted_for_public_release],medium,false,true,NQSC034 positions RNNs after RBM-based NQS but does not directly cite NQSC001 as the cause of the architecture move.; candidate_context_only=true; original_candidate_id=CAND.APW.001; explicitness=field_frontier_alignment; review_reason=Keep candidate unless branch linking finds direct expressivity citation context.
