item_id,item_kind,label,paper_id,year,section,evidence,paraphrase
FWP004.paper,paper,Restricted-Boltzmann-Machine Learning for Solving Strongly Correlated Quantum Systems,NQSC004,2017,title,[redacted_for_public_release],Paper node for Nomura et al. RBM+PP strongly correlated systems.
FWP004.benchmark.heisenberg_hubbard_square,benchmark,2D Heisenberg and Hubbard models on square lattices,NQSC004,2017,abstract,[redacted_for_public_release],The paper evaluates RBM+PP on square-lattice Heisenberg and Hubbard models.
FWP004.limitation.optimization_large_alpha,limitation,Optimization becomes difficult for larger RBM hidden density,NQSC004,2017,discussion,[redacted_for_public_release],The discussion identifies optimization at larger alpha as a practical bottleneck.
FWP021.paper,paper,Neural Gutzwiller-projected variational wave functions,NQSC021,2019,title,[redacted_for_public_release],Paper node for Ferrari et al. neural Gutzwiller-projected wavefunctions.
FWP021.benchmark.square_j1j2,benchmark,Square-lattice J1-J2 model at unfrustrated and frustrated regimes,NQSC021,2019,results,[redacted_for_public_release],The paper evaluates both J2=0 and J2/J1=0.5 regimes.
FWP021.limitation.su2_bias,limitation,RBM form tends to break SU(2) symmetry in frustrated settings,NQSC021,2019,conclusion,[redacted_for_public_release],The paper identifies SU(2)-symmetry breaking as an inductive-bias issue.
FWP043.paper,paper,Hybrid convolutional neural network and PEPS wave functions for quantum many-particle states,NQSC043,2020,title,[redacted_for_public_release],Paper node for Liang et al. PEPS+CNN hybrid.
FWP043.benchmark.square_j1j2,benchmark,Highly frustrated spin-1/2 square-lattice J1-J2 model,NQSC043,2020,abstract,[redacted_for_public_release],The paper benchmarks on the square J1-J2 model.
FWP043.result.competitive_sota,result_claim,PEPS+CNN achieves competitive state-of-the-art ground energies,NQSC043,2020,abstract,[redacted_for_public_release],The paper reports competitive ground-state energies.
FWP047.paper,paper,Correlation-Enhanced Neural Networks as Interpretable Variational Quantum States,NQSC047,2021,title,[redacted_for_public_release],Paper node for Valenti et al. cRBM.
FWP047.benchmark.triangular_heisenberg,benchmark,Antiferromagnetic Heisenberg model on triangular lattice,NQSC047,2021,appendix,[redacted_for_public_release],The paper evaluates cRBM on a frustrated triangular Heisenberg model.
FWP047.result.lower_energies_with_correlators,result_claim,cRBM correlators give significantly lower energies than RBM for same parameter count,NQSC047,2021,appendix,[redacted_for_public_release],The paper reports cRBM energy improvement.
FWP078.paper,paper,Lattice Convolutional Networks for Learning Ground States of Quantum Many-Body Systems,NQSC078,2022,title,[redacted_for_public_release],Paper node for Fu et al. LCN.
