edge_id,graph_layer,source_node_id,target_node_id,relation_type,evidence_paper_id,evidence_year,visible_year,evidence_source_type,evidence_location,evidence_quote,confidence,is_inferred,needs_human_check,notes
CITE.NQSC004.NQSC002,citation,FWP004.paper,HPM002.paper,paper_cites_paper,NQSC004,2017,2017,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/1709.06475/main.bbl:543,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC002
CITE.NQSC004.NQSC003,citation,FWP004.paper,HPM003.paper,paper_cites_paper,NQSC004,2017,2017,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/1709.06475/main.bbl:550,[redacted_for_public_release],high,false,false,citation_match=arxiv_id; cited_paper_id=NQSC003
CITE.NQSC043.NQSC021,citation,FWP043.paper,FWP021.paper,paper_cites_paper,NQSC043,2020,2020,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2009.14370/citation_backfill_thebibliography.bbl:80,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC021
CITE.NQSC043.NQSC016,citation,FWP043.paper,OPW016.paper,paper_cites_paper,NQSC043,2020,2020,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2009.14370/citation_backfill_thebibliography.bbl:95,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC016
CITE.NQSC043.NQSC001,citation,FWP043.paper,APW001.paper,paper_cites_paper,NQSC043,2020,2020,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2009.14370/citation_backfill_thebibliography.bbl:71,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC001
CITE.NQSC043.NQSC026,citation,FWP043.paper,HPM026.paper,paper_cites_paper,NQSC043,2020,2020,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2009.14370/citation_backfill_thebibliography.bbl:77,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC026
CITE.NQSC043.NQSC003,citation,FWP043.paper,HPM003.paper,paper_cites_paper,NQSC043,2020,2020,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2009.14370/citation_backfill_thebibliography.bbl:89,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC003
CITE.NQSC043.NQSC007,citation,FWP043.paper,HPM007.paper,paper_cites_paper,NQSC043,2020,2020,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2009.14370/citation_backfill_thebibliography.bbl:68,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC007
CITE.NQSC043.NQSC015,citation,FWP043.paper,DTO015.paper,paper_cites_paper,NQSC043,2020,2020,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2009.14370/citation_backfill_thebibliography.bbl:101,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC015
CITE.NQSC047.NQSC004,citation,FWP047.paper,FWP004.paper,paper_cites_paper,NQSC047,2021,2021,reference_list,extraction_waves/frustrated_spin_pilot_wave_v0/text/2103.05017/draft_main.bbl:123,[redacted_for_public_release],medium,false,false,citation_match=title_exact; cited_paper_id=NQSC004
