link_id,from_item_id,to_item_id,paper_id,year,evidence_location,evidence
A0001,APW153.paper,APW153.problem.basis_dependence_interpretability,NQSC153,2024,draft_1.tex:108-109,[redacted_for_public_release]
A0002,APW153.paper,APW153.method.physics_informed_reference_basis,NQSC153,2024,draft_1.tex:129,[redacted_for_public_release]
A0003,APW153.paper,APW153.method.alpha_reference_weight,NQSC153,2024,draft_1.tex:184-186,[redacted_for_public_release]
A0004,APW153.paper,APW153.method.transformer_corrections,NQSC153,2024,draft_1.tex:195-204,[redacted_for_public_release]
A0005,APW153.paper,APW153.benchmark.non_sparse_fermionic_mit,NQSC153,2024,draft_1.tex:245-259,[redacted_for_public_release]
A0006,APW153.paper,APW153.result.hf_tqs_matches_ed,NQSC153,2024,draft_1.tex:276-284,[redacted_for_public_release]
A0007,APW153.paper,APW153.result.physical_basis_sampling_efficiency,NQSC153,2024,draft_1.tex:306-308,[redacted_for_public_release]
A0008,APW153.paper,APW153.interpretation.latent_physical_hierarchy,NQSC153,2024,draft_1.tex:329-333,[redacted_for_public_release]
A0009,APW153.paper,APW153.limitation.critical_unique_states,NQSC153,2024,draft_1.tex:278-285,[redacted_for_public_release]
A0010,APW153.paper,APW153.future.more_hamiltonians_sr_symmetry,NQSC153,2024,draft_1.tex:335-336,[redacted_for_public_release]
A0011,APW153.method.physics_informed_reference_basis,APW153.problem.basis_dependence_interpretability,NQSC153,2024,draft_1.tex:126-129,[redacted_for_public_release]
A0012,APW153.method.alpha_reference_weight,APW153.problem.basis_dependence_interpretability,NQSC153,2024,draft_1.tex:184-186,[redacted_for_public_release]
A0013,APW153.method.transformer_corrections,APW153.method.physics_informed_reference_basis,NQSC153,2024,draft_1.tex:184-195,[redacted_for_public_release]
A0014,APW153.result.physical_basis_sampling_efficiency,APW153.interpretation.latent_physical_hierarchy,NQSC153,2024,draft_1.tex:329-333,[redacted_for_public_release]
A0015,APW153.limitation.critical_unique_states,APW153.future.more_hamiltonians_sr_symmetry,NQSC153,2024,draft_1.tex:335-336,[redacted_for_public_release]
A0016,CSSA145.paper,CSSA145.problem.peaked_hamiltonian,NQSC145,2024,text/2408.07625v1/main.tex:408-410,[redacted_for_public_release]
A0017,CSSA145.paper,CSSA145.method.sampling_without_replacement,NQSC145,2024,text/2408.07625v1/main.tex:535-538,[redacted_for_public_release]
A0018,CSSA145.paper,CSSA145.method.local_energy_surrogate,NQSC145,2024,text/2408.07625v1/main.tex:547-559,[redacted_for_public_release]
A0019,CSSA145.paper,CSSA145.method.prefix_tree,NQSC145,2024,text/2408.07625v1/main.tex:581-585,[redacted_for_public_release]
A0020,CSSA145.paper,CSSA145.benchmark.large_molecules,NQSC145,2024,text/2408.07625v1/main.tex:668-685,[redacted_for_public_release]
A0021,CSSA145.paper,CSSA145.result.speedup_scale,NQSC145,2024,text/2408.07625v1/main.tex:414-415,[redacted_for_public_release]
A0022,CSSA145.result.speedup_scale,CSSA145.interpretation.peaked_blessing,NQSC145,2024,text/2408.07625v1/main.tex:726-729,[redacted_for_public_release]
A0023,CSSA145.method.sampling_without_replacement,CSSA145.problem.peaked_hamiltonian,NQSC145,2024,text/2408.07625v1/main.tex:531-538,[redacted_for_public_release]
A0024,CSSA145.paper,CSSA145.limitation.c2,NQSC145,2024,text/2408.07625v1/main.tex:685-687,[redacted_for_public_release]
A0025,CSSA145.paper,CSSA145.future.scaling_architecture,NQSC145,2024,text/2408.07625v1/main.tex:734-738,[redacted_for_public_release]
